,date,open,close,high,low,volume,amount,swing,chg_pct,chg_amount,turnover,factor,symbol
0,2015-01-05,2.37,2.4,2.43,2.3,164028.0,174239623.0,5.49,1.27,0.03,8.45,1.0,x002600
1,2015-01-06,2.38,2.41,2.42,2.32,119171.0,127150587.0,4.17,0.42,0.01,6.14,1.0,x002600
2,2015-01-07,2.39,2.41,2.44,2.38,89405.0,96806171.0,2.49,0.0,0.0,4.6,1.0,x002600
3,2015-01-08,2.41,2.38,2.41,2.35,81859.0,87756610.0,2.49,-1.24,-0.03,4.21,1.0,x002600
4,2015-01-09,2.38,2.37,2.43,2.36,89372.0,96454313.0,2.94,-0.42,-0.01,4.6,1.0,x002600
5,2015-01-12,2.36,2.26,2.36,2.23,81785.0,84533611.0,5.49,-4.64,-0.11,4.21,1.0,x002600
6,2015-01-13,2.26,2.29,2.31,2.24,56924.0,58677331.0,3.1,1.33,0.03,2.93,1.0,x002600
7,2015-01-14,2.29,2.31,2.32,2.28,51066.0,53020576.0,1.75,0.87,0.02,2.63,1.0,x002600
8,2015-01-15,2.31,2.31,2.33,2.3,44022.0,45964666.0,1.3,0.0,0.0,2.27,1.0,x002600
9,2015-01-16,2.31,2.32,2.33,2.3,54250.0,56733861.0,1.3,0.43,0.01,2.79,1.0,x002600
10,2015-01-19,2.26,2.27,2.38,2.22,93877.0,97925100.0,6.9,-2.16,-0.05,4.83,1.0,x002600
11,2015-01-20,2.28,2.36,2.36,2.28,79213.0,83261664.0,3.52,3.96,0.09,4.08,1.0,x002600
12,2015-01-21,2.37,2.43,2.44,2.36,122383.0,132629065.0,3.39,2.97,0.07,6.3,1.0,x002600
13,2015-01-22,2.45,2.45,2.47,2.43,114163.0,125476489.0,1.65,0.82,0.02,5.88,1.0,x002600
14,2015-01-23,2.43,2.42,2.44,2.4,84177.0,91580821.0,1.63,-1.22,-0.03,4.33,1.0,x002600
15,2015-01-26,2.43,2.49,2.51,2.4,98379.0,109036547.0,4.55,2.89,0.07,5.07,1.0,x002600
16,2015-01-27,2.49,2.47,2.49,2.43,77331.0,85297152.0,2.41,-0.8,-0.02,3.98,1.0,x002600
17,2015-01-28,2.47,2.45,2.48,2.43,64999.0,71677676.0,2.02,-0.81,-0.02,3.35,1.0,x002600
18,2015-01-29,2.44,2.45,2.47,2.42,51671.0,56845776.0,2.04,0.0,0.0,2.66,1.0,x002600
19,2015-01-30,2.45,2.4,2.47,2.39,51782.0,56672432.0,3.27,-2.04,-0.05,2.67,1.0,x002600
20,2015-02-02,2.39,2.37,2.39,2.33,43892.0,46788396.0,2.5,-1.25,-0.03,2.26,1.0,x002600
21,2015-02-03,2.36,2.42,2.42,2.36,46794.0,50575968.0,2.53,2.11,0.05,2.41,1.0,x002600
22,2015-02-04,2.42,2.41,2.45,2.4,40779.0,44339375.0,2.07,-0.41,-0.01,2.1,1.0,x002600
