,date,open,close,high,low,volume,amount,swing,chg_pct,chg_amount,turnover
0,2015-01-05,3566.09,3641.54,3669.04,3551.51,451198098,519849817448.0,3.33,3.05,107.83,1.61
1,2015-01-06,3608.43,3641.06,3683.23,3587.23,420962185,498529588258.0,2.64,-0.01,-0.48,1.5
2,2015-01-07,3620.92,3643.79,3671.19,3601.7,320191232,398731720502.0,1.91,0.07,2.73,1.14
3,2015-01-08,3650.07,3559.26,3659.95,3552.1,295003045,355831967325.0,2.96,-2.32,-84.53,1.05
4,2015-01-09,3547.57,3546.72,3689.75,3536.4,349982672,430210592272.0,4.31,-0.35,-12.54,1.25
5,2015-01-12,3531.51,3513.58,3560.53,3461.32,266567175,334257133083.0,2.8,-0.93,-33.14,0.95
6,2015-01-13,3506.45,3514.04,3550.16,3494.77,187153965,250796676069.0,1.58,0.01,0.46,0.67
7,2015-01-14,3522.91,3502.42,3547.24,3471.56,196012510,241285837533.0,2.15,-0.33,-11.62,0.7
8,2015-01-15,3501.72,3604.12,3604.12,3482.27,237812338,303445351108.0,3.48,2.9,101.7,0.85
9,2015-01-16,3616.25,3635.15,3662.16,3601.26,282681614,355568710742.0,1.69,0.86,31.03,1.01
10,2015-01-19,3414.01,3355.16,3497.25,3330.98,329505275,366017532103.0,4.57,-7.7,-279.99,1.18
11,2015-01-20,3336.79,3396.22,3419.2,3325.68,297843232,381917903845.0,2.79,1.22,41.06,1.06
12,2015-01-21,3420.49,3548.89,3557.79,3409.43,337928210,425433704264.0,4.37,4.5,152.67,1.21
13,2015-01-22,3551.05,3567.61,3576.76,3520.05,268853599,345026040998.0,1.6,0.53,18.72,0.96
14,2015-01-23,3582.09,3571.73,3627.81,3548.63,280172172,361835546416.0,2.22,0.12,4.12,1.0
15,2015-01-26,3580.12,3607.99,3611.62,3559.38,239766203,309585710088.0,1.46,1.02,36.26,0.86
16,2015-01-27,3614.04,3574.93,3616.26,3510.02,287669179,357548249621.0,2.94,-0.92,-33.06,1.03
17,2015-01-28,3547.24,3525.32,3583.31,3512.39,216220214,278749164896.0,1.98,-1.39,-49.61,0.77
18,2015-01-29,3474.92,3481.8,3505.58,3453.9,211618860,251897926442.0,1.47,-1.23,-43.52,0.76
19,2015-01-30,3496.89,3434.39,3514.22,3431.94,196479157,237420793858.0,2.36,-1.36,-47.41,0.7
20,2015-02-02,3360.19,3353.96,3407.26,3347.08,195183699,224837769887.0,1.75,-2.34,-80.43,0.7
21,2015-02-03,3388.6,3437.45,3441.71,3360.72,192846096,241100023193.0,2.41,2.49,83.49,0.69
22,2015-02-04,3446.14,3401.77,3476.82,3399.56,191304349,244034297155.0,2.25,-1.04,-35.68,0.68
23,2015-02-05,3487.95,3366.95,3487.95,3366.86,250430609,311523669172.0,3.56,-1.02,-34.82,0.89
24,2015-02-06,3352.33,3312.42,3374.05,3285.94,192664186,221433183351.0,2.62,-1.62,-54.53,0.69
25,2015-02-09,3305.73,3345.92,3376.53,3298.6,172353820,220766525021.0,2.35,1.01,33.5,0.62
26,2015-02-10,3345.08,3406.94,3407.18,3339.55,159309088,199120680699.0,2.02,1.82,61.02,0.57
27,2015-02-11,3415.98,3434.12,3445.66,3412.14,144613772,185979219656.0,0.98,0.8,27.18,0.52
28,2015-02-12,3435.36,3442.87,3453.58,3405.63,156081691,191285873488.0,1.4,0.25,8.75,0.56
29,2015-02-13,3458.83,3469.83,3509.5,3452.08,201089971,247076153339.0,1.67,0.78,26.96,0.72
30,2015-02-16,3473.29,3499.48,3504.48,3466.61,165641343,222799721247.0,1.09,0.85,29.65,0.59
31,2015-02-17,3511.54,3522.32,3536.82,3511.09,165328313,214457267905.0,0.74,0.65,22.84,0.59
32,2015-02-25,3529.55,3478.73,3529.55,3463.96,165539351,211739059322.0,1.86,-1.24,-43.59,0.59
33,2015-02-26,3473.71,3566.29,3569.33,3456.87,229328438,279809075234.0,3.23,2.52,87.56,0.82
34,2015-02-27,3565.23,3572.84,3594.81,3560.46,222786438,271861944608.0,0.96,0.18,6.55,0.8
35,2015-03-02,3603.45,3601.26,3608.69,3566.53,248176125,325164897145.0,1.18,0.8,28.42,0.89
36,2015-03-03,3579.31,3507.9,3579.31,3504.2,261866489,335700118167.0,2.09,-2.59,-93.36,0.94
37,2015-03-04,3514.67,3530.82,3540.91,3497.17,199663981,257468790961.0,1.25,0.65,22.92,0.71
38,2015-03-05,3513.25,3496.34,3517.08,3467.68,217508805,279030592350.0,1.4,-0.98,-34.48,0.78
39,2015-03-06,3501.18,3478.52,3516.24,3472.39,181518054,233468244766.0,1.25,-0.51,-17.82,0.65
40,2015-03-09,3449.7,3537.75,3546.71,3417.49,233940411,277860471571.0,3.71,1.7,59.23,0.84
41,2015-03-10,3523.64,3520.61,3551.21,3511.99,194267657,245366625918.0,1.11,-0.48,-17.14,0.69
42,2015-03-11,3524.57,3524.65,3568.92,3512.22,188947825,235772755479.0,1.61,0.11,4.04,0.67
43,2015-03-12,3557.69,3592.84,3603.34,3536.53,265664625,322141249344.0,1.9,1.93,68.19,0.95
44,2015-03-13,3604.67,3617.66,3641.39,3594.74,246864768,297298516465.0,1.3,0.69,24.82,0.88
45,2015-03-16,3641.77,3705.67,3705.74,3621.12,275438307,358497570207.0,2.34,2.43,88.01,0.98
46,2015-03-17,3733.96,3757.12,3762.57,3716.81,371625666,455003825887.0,1.23,1.39,51.45,1.33
47,2015-03-18,3769.09,3846.05,3846.05,3763.85,415190011,484465529242.0,2.19,2.37,88.93,1.48
48,2015-03-19,3851.25,3839.74,3859.13,3809.71,391547630,463212821639.0,1.28,-0.16,-6.31,1.4
49,2015-03-20,3852.49,3892.57,3916.86,3832.42,401817552,544468374302.0,2.2,1.38,52.83,1.43
50,2015-03-23,3923.08,3972.06,3972.3,3922.21,391119922,519760220709.0,1.29,2.04,79.49,1.4
51,2015-03-24,3980.07,3973.05,3989.86,3883.78,468581312,591066800604.0,2.67,0.02,0.99,1.67
52,2015-03-25,3961.58,3940.41,3980.72,3913.99,379968851,501733891680.0,1.68,-0.82,-32.64,1.36
53,2015-03-26,3921.75,3950.0,3992.0,3892.88,346756315,468538490771.0,2.52,0.24,9.59,1.24
54,2015-03-27,3957.54,3971.7,3993.03,3932.87,298756064,393132347578.0,1.52,0.55,21.7,1.07
55,2015-03-30,3999.02,4088.18,4101.65,3999.02,428297020,546211078887.0,2.58,2.93,116.48,1.53
56,2015-03-31,4138.88,4051.2,4166.02,4037.77,436065635,598121732643.0,3.14,-0.9,-36.98,1.56
57,2015-04-01,4057.5,4123.9,4139.5,4046.94,329512853,466596904663.0,2.28,1.79,72.7,1.18
58,2015-04-02,4149.95,4124.78,4156.84,4068.65,339070487,476617837707.0,2.14,0.02,0.88,1.21
59,2015-04-03,4104.67,4170.54,4170.56,4092.38,321303766,466965600575.0,1.9,1.11,45.76,1.15
60,2015-04-07,4213.89,4260.04,4260.47,4197.02,415362654,564646323685.0,1.52,2.15,89.5,1.48
61,2015-04-08,4277.45,4295.8,4304.78,4204.83,458676715,658308062760.0,2.35,0.84,35.76,1.64
62,2015-04-09,4316.96,4262.14,4332.17,4212.61,439699902,650419151486.0,2.78,-0.78,-33.66,1.57
63,2015-04-10,4249.38,4344.42,4351.69,4231.2,348190170,509354291196.0,2.83,1.93,82.28,1.24
64,2015-04-13,4394.05,4421.07,4432.02,4361.59,434153036,598518139930.0,1.62,1.76,76.65,1.55
65,2015-04-14,4432.13,4438.18,4474.35,4385.91,434432126,602127441917.0,2.0,0.39,17.11,1.55
66,2015-04-15,4439.31,4380.51,4476.0,4379.61,472154131,596822875636.0,2.17,-1.3,-57.67,1.69
67,2015-04-16,4355.49,4513.55,4513.77,4335.63,422603748,564722844124.0,4.07,3.04,133.04,1.51
68,2015-04-17,4578.68,4596.14,4630.27,4553.9,552802663,733953610122.0,1.69,1.83,82.59,1.97
69,2015-04-20,4615.03,4521.92,4671.17,4492.6,686439075,939264904128.0,3.89,-1.61,-74.22,2.45
70,2015-04-21,4520.46,4619.16,4620.06,4504.56,490314991,685365027867.0,2.55,2.15,97.24,1.75
71,2015-04-22,4637.06,4739.81,4740.93,4632.59,516213792,769924803864.0,2.35,2.61,120.65,1.84
72,2015-04-23,4764.48,4740.89,4782.04,4693.97,497430954,752258236225.0,1.86,0.02,1.08,1.78
73,2015-04-24,4682.63,4702.64,4730.43,4618.32,480152936,721273097490.0,2.36,-0.81,-38.25,1.71
74,2015-04-27,4753.87,4807.59,4810.48,4735.31,513076548,765910402328.0,1.6,2.23,104.95,1.83
75,2015-04-28,4811.32,4741.86,4839.08,4703.57,608638545,860349875255.0,2.82,-1.37,-65.73,2.17
76,2015-04-29,4722.9,4774.33,4797.93,4695.79,395056980,601676350605.0,2.15,0.68,32.47,1.41
77,2015-04-30,4788.41,4749.89,4818.73,4749.48,399727444,612511415165.0,1.45,-0.51,-24.44,1.43
78,2015-05-04,4757.64,4787.74,4795.92,4699.4,377843853,565453373624.0,2.03,0.8,37.85,1.35
79,2015-05-05,4785.19,4596.84,4785.19,4572.98,460419626,660020218474.0,4.43,-3.99,-190.9,1.64
80,2015-05-06,4626.23,4553.33,4700.91,4511.76,376073702,586033987365.0,4.11,-0.95,-43.51,1.34
81,2015-05-07,4520.82,4470.09,4546.34,4467.46,297759203,427189953161.0,1.73,-1.83,-83.24,1.06
82,2015-05-08,4515.55,4558.4,4559.06,4445.59,302407967,452090694881.0,2.54,1.98,88.31,1.08
83,2015-05-11,4582.09,4690.53,4690.95,4535.15,373838420,583260408778.0,3.42,2.9,132.13,1.34
84,2015-05-12,4692.12,4747.42,4748.0,4660.02,377053891,607123299939.0,1.88,1.21,56.89,1.35
85,2015-05-13,4746.71,4718.44,4758.0,4678.85,370730424,590479847838.0,1.67,-0.61,-28.98,1.32
86,2015-05-14,4717.96,4700.78,4735.28,4670.17,337725152,513219655550.0,1.38,-0.37,-17.66,1.21
87,2015-05-15,4690.75,4617.47,4690.75,4592.05,328431166,506695010176.0,2.1,-1.77,-83.31,1.17
88,2015-05-18,4582.06,4575.14,4623.38,4565.06,269180489,434083129375.0,1.26,-0.92,-42.33,0.96
89,2015-05-19,4577.64,4731.22,4740.0,4577.64,314785952,524232160128.0,3.55,3.41,156.08,1.12
90,2015-05-20,4751.57,4754.92,4843.1,4745.21,363180748,589956272979.0,2.07,0.5,23.7,1.3
91,2015-05-21,4768.69,4840.98,4841.62,4746.03,305054537,505346105539.0,2.01,1.81,86.06,1.09
92,2015-05-22,4895.92,4951.33,4951.99,4870.6,455846718,719129953200.0,1.68,2.28,110.35,1.63
93,2015-05-25,4949.11,5099.5,5099.84,4949.11,465736590,757085825931.0,3.04,2.99,148.17,1.66
94,2015-05-26,5140.8,5198.92,5199.29,5063.15,487949359,802295843467.0,2.67,1.95,99.42,1.74
95,2015-05-27,5216.17,5181.43,5226.84,5126.86,470798730,777826309129.0,1.92,-0.34,-17.49,1.68
96,2015-05-28,5174.1,4834.01,5213.18,4831.33,571829047,873207363731.0,7.37,-6.71,-347.42,2.04
97,2015-05-29,4839.53,4840.83,4924.3,4665.52,427878859,636008152610.0,5.35,0.14,6.82,1.53
98,2015-06-01,4862.76,5076.18,5079.32,4835.77,417503741,637843681462.0,5.03,4.86,235.35,1.49
99,2015-06-02,5091.27,5161.87,5162.56,5047.08,412973196,658452859697.0,2.27,1.69,85.69,1.47
100,2015-06-03,5176.6,5143.59,5186.97,5059.5,414258270,672056532157.0,2.47,-0.35,-18.28,1.48
101,2015-06-04,5156.01,5181.42,5194.23,4863.46,482767268,735170669363.0,6.43,0.74,37.83,1.72
102,2015-06-05,5254.9,5230.55,5288.34,5104.18,545961196,855224403052.0,3.55,0.95,49.13,1.95
103,2015-06-08,5259.41,5353.75,5370.61,5202.59,637313237,949498013951.0,3.21,2.36,123.2,2.28
104,2015-06-09,5379.47,5317.46,5380.43,5251.21,570427263,871431819564.0,2.41,-0.68,-36.29,2.04
105,2015-06-10,5254.3,5309.11,5374.83,5209.68,442165676,711509256785.0,3.11,-0.16,-8.35,1.58
106,2015-06-11,5305.14,5306.59,5329.29,5248.16,392338755,660584867997.0,1.53,-0.05,-2.52,1.4
107,2015-06-12,5329.28,5335.12,5351.65,5283.09,430131386,694213173337.0,1.29,0.54,28.53,1.54
108,2015-06-15,5354.01,5221.17,5362.45,5207.31,475745703,766237730233.0,2.91,-2.14,-113.95,1.7
109,2015-06-16,5165.02,5064.82,5204.3,5015.26,411675638,651522532247.0,3.62,-2.99,-156.35,1.47
110,2015-06-17,5072.31,5138.83,5158.37,4949.29,397124187,589868366440.0,4.13,1.46,74.01,1.42
111,2015-06-18,5107.69,4930.55,5121.22,4926.43,364395814,555646755662.0,3.79,-4.05,-208.28,1.3
112,2015-06-19,4847.06,4637.05,4910.45,4634.69,358104744,519609575034.0,5.59,-5.95,-293.5,1.28
113,2015-06-23,4641.42,4786.09,4786.96,4455.33,365087944,536984113004.0,7.15,3.21,149.04,1.3
114,2015-06-24,4811.59,4880.13,4883.73,4744.31,434638723,615374085939.0,2.91,1.96,94.04,1.55
115,2015-06-25,4906.24,4706.52,4919.26,4667.22,446135982,640246401379.0,5.16,-3.56,-173.61,1.59
116,2015-06-26,4573.87,4336.19,4650.19,4278.68,446639790,612959478689.0,7.89,-7.87,-370.33,1.59
117,2015-06-29,4446.84,4191.55,4451.17,4000.93,525662482,704014548847.0,10.38,-3.34,-144.64,1.88
118,2015-06-30,4161.07,4473.0,4475.77,4016.01,527045280,716045824698.0,10.97,6.71,281.45,1.88
119,2015-07-01,4408.98,4253.02,4526.13,4235.7,431721411,623330596858.0,6.49,-4.92,-219.98,1.54
120,2015-07-02,4287.73,4108.0,4312.19,4000.06,457062194,593506685518.0,7.34,-3.41,-145.02,1.63
121,2015-07-03,4017.2,3885.92,4164.63,3785.9,429300850,538216869728.0,9.22,-5.41,-222.08,1.53
122,2015-07-06,4218.27,3998.54,4218.27,3832.47,648094530,779558044352.0,9.93,2.9,112.62,2.31
123,2015-07-07,3877.85,3928.0,3960.64,3743.62,679385007,795962644454.0,5.43,-1.76,-70.54,2.43
124,2015-07-08,3651.06,3663.04,3762.62,3612.25,581467097,640122398881.0,3.83,-6.75,-264.96,2.08
125,2015-07-09,3621.68,3897.63,3930.26,3537.83,503870610,564744043358.0,10.71,6.4,234.59,1.8
126,2015-07-10,3916.27,4106.56,4179.11,3887.55,500701802,629079512954.0,7.48,5.36,208.93,1.79
127,2015-07-13,4132.23,4211.81,4278.16,4072.43,502092186,659251724205.0,5.01,2.56,105.25,1.79
128,2015-07-14,4178.63,4112.15,4258.51,4062.5,454422009,597521262486.0,4.65,-2.37,-99.66,1.62
129,2015-07-15,4068.88,3966.76,4114.24,3899.51,421956367,514064532339.0,5.22,-3.54,-145.39,1.51
130,2015-07-16,3949.64,3997.36,4067.02,3856.32,330531345,410050894560.0,5.31,0.77,30.6,1.18
131,2015-07-17,4023.76,4151.5,4190.19,4000.23,331107131,435597103716.0,4.75,3.86,154.14,1.18
132,2015-07-20,4157.06,4160.61,4221.69,4106.39,352673472,483493894661.0,2.78,0.22,9.11,1.26
133,2015-07-21,4109.76,4166.01,4201.48,4081.7,318374945,431695843789.0,2.88,0.13,5.4,1.14
134,2015-07-22,4148.56,4157.16,4187.43,4094.71,318945997,441832505196.0,2.23,-0.21,-8.85,1.14
135,2015-07-23,4158.93,4250.81,4262.06,4148.82,354471759,483972220006.0,2.72,2.25,93.65,1.27
136,2015-07-24,4255.2,4176.28,4299.65,4154.62,392045373,535901647230.0,3.41,-1.75,-74.53,1.4
137,2015-07-27,4097.8,3818.73,4156.31,3817.17,365054511,477952010794.0,8.12,-8.56,-357.55,1.3
