,date,open,close,high,low,volume,amount,swing,chg_pct,chg_amount,turnover,factor,symbol
0,2015-01-05,5.85,6.07,6.14,5.82,473094.0,682725536.0,5.55,5.2,0.3,2.74,1.0,x000876
1,2015-01-06,6.02,6.14,6.23,5.97,406842.0,597391248.0,4.28,1.15,0.07,2.35,1.0,x000876
2,2015-01-07,6.14,6.1,6.2,6.0,243433.0,356029952.0,3.26,-0.65,-0.04,1.41,1.0,x000876
3,2015-01-08,6.1,6.18,6.32,6.05,444683.0,661580912.0,4.43,1.31,0.08,2.57,1.0,x000876
4,2015-01-09,6.16,6.07,6.36,6.06,353073.0,526488848.0,4.85,-1.78,-0.11,2.04,1.0,x000876
5,2015-01-12,6.02,5.92,6.02,5.83,202179.0,288928384.0,3.13,-2.47,-0.15,1.17,1.0,x000876
6,2015-01-13,5.96,6.02,6.05,5.93,148096.0,214005311.0,2.03,1.69,0.1,0.86,1.0,x000876
7,2015-01-14,5.95,5.92,6.07,5.88,130482.0,187771043.0,3.16,-1.66,-0.1,0.75,1.0,x000876
8,2015-01-15,5.93,6.14,6.15,5.91,254142.0,370795424.0,4.05,3.72,0.22,1.47,1.0,x000876
9,2015-01-16,6.16,6.34,6.34,6.16,403310.0,604254256.0,2.93,3.26,0.2,2.33,1.0,x000876
10,2015-01-19,6.1,6.01,6.31,5.81,387460.0,571638080.0,7.89,-5.21,-0.33,2.24,1.0,x000876
11,2015-01-20,6.01,6.36,6.36,6.01,438740.0,655411056.0,5.82,5.82,0.35,2.54,1.0,x000876
12,2015-01-21,6.42,6.5,6.52,6.38,456216.0,701215584.0,2.2,2.2,0.14,2.64,1.0,x000876
13,2015-01-22,6.49,6.52,6.57,6.38,368547.0,566865184.0,2.92,0.31,0.02,2.13,1.0,x000876
14,2015-01-23,6.5,6.32,6.58,6.29,359580.0,551307872.0,4.45,-3.07,-0.2,2.08,1.0,x000876
15,2015-01-26,6.32,6.55,6.55,6.28,359215.0,550043216.0,4.27,3.64,0.23,2.08,1.0,x000876
16,2015-01-27,6.54,6.65,6.7,6.36,446968.0,695589456.0,5.19,1.53,0.1,2.59,1.0,x000876
17,2015-01-28,6.57,6.74,6.89,6.54,561437.0,898326048.0,5.26,1.35,0.09,3.25,1.0,x000876
18,2015-01-29,6.61,6.49,6.7,6.47,280408.0,437314560.0,3.41,-3.71,-0.25,1.62,1.0,x000876
19,2015-01-30,6.53,6.4,6.59,6.38,215895.0,332242064.0,3.24,-1.39,-0.09,1.25,1.0,x000876
20,2015-02-02,6.35,6.37,6.55,6.29,253790.0,389000800.0,4.06,-0.47,-0.03,1.47,1.0,x000876
21,2015-02-03,6.43,6.29,6.45,6.15,342103.0,511672816.0,4.71,-1.26,-0.08,1.98,1.0,x000876
