,date,open,close,high,low,volume,amount,swing,chg_pct,chg_amount,turnover,factor,symbol
0,2015-01-05,2.9,3.14,3.22,2.9,23084548,9922663424.0,11.15,9.41,0.27,1.13,1,x601988
1,2015-01-06,3.1,3.28,3.46,3.0,23127260,10516945664.0,14.65,4.46,0.14,1.13,1,x601988
2,2015-01-07,3.18,3.26,3.36,3.16,15485755,7006124032.0,6.1,-0.61,-0.02,0.76,1,x601988
3,2015-01-08,3.27,3.05,3.29,3.03,14892726,6536809472.0,7.98,-6.44,-0.21,0.73,1,x601988
4,2015-01-09,3.0,3.19,3.48,2.95,22776194,10212605696.0,17.38,4.59,0.14,1.11,1,x601988
5,2015-01-12,3.1,3.12,3.21,3.02,12760756,5610756096.0,5.96,-2.19,-0.07,0.62,1,x601988
6,2015-01-13,3.11,3.16,3.16,3.03,9123192,3991497472.0,4.17,1.28,0.04,0.44,1,x601988
7,2015-01-14,3.18,3.31,3.37,3.18,16732747,7656606976.0,6.01,4.75,0.15,0.82,1,x601988
8,2015-01-15,3.31,3.59,3.61,3.23,16806698,7849348096.0,11.48,8.46,0.28,0.82,1,x601988
9,2015-01-16,3.61,3.7,3.8,3.55,18870036,9402684672.0,6.96,3.06,0.11,0.92,1,x601988
10,2015-01-19,3.25,3.2,3.5,3.2,21588879,9910001664.0,8.11,-13.51,-0.5,1.05,1,x601988
11,2015-01-20,3.2,3.17,3.29,3.03,17514000,7806777344.0,8.13,-0.94,-0.03,0.85,1,x601988
12,2015-01-21,3.21,3.61,3.62,3.13,26819060,12573299712.0,15.46,13.88,0.44,1.31,1,x601988
13,2015-01-22,3.6,3.56,3.61,3.47,16228019,7826658816.0,3.88,-1.39,-0.05,0.79,1,x601988
14,2015-01-23,3.6,3.56,3.71,3.52,17223380,8421735680.0,5.34,0.0,0.0,0.84,1,x601988
15,2015-01-26,3.5,3.5,3.54,3.34,13862782,6531498240.0,5.62,-1.69,-0.06,0.68,1,x601988
16,2015-01-27,3.47,3.35,3.48,3.25,14497534,6711325952.0,6.57,-4.29,-0.15,0.71,1,x601988
17,2015-01-28,3.29,3.27,3.38,3.22,10173468,4647153408.0,4.78,-2.39,-0.08,0.5,1,x601988
18,2015-01-29,3.16,3.12,3.22,3.11,11214293,4969470720.0,3.36,-4.59,-0.15,0.55,1,x601988
19,2015-01-30,3.17,3.12,3.2,3.06,8637130,3811523280.0,4.49,0.0,0.0,0.42,1,x601988
20,2015-02-02,2.96,2.85,3.02,2.84,12192489,5127737344.0,5.77,-8.65,-0.27,0.59,1,x601988
21,2015-02-03,2.9,3.0,3.04,2.76,16217411,6732571648.0,9.82,5.26,0.15,0.78,1,x601988
22,2015-02-04,2.96,2.85,2.99,2.84,11173366,4702766848.0,5.0,-5.0,-0.15,0.54,1,x601988
23,2015-02-05,3.09,2.85,3.09,2.84,16586318,7051371520.0,8.77,0.0,0.0,0.8,1,x601988
